norm_name,college_teams,club_teams,review
stephen garrison,colorado state-b (hibida),choice city hops,
stephen giunta,depaul (duc),baemaker; cowtown cannons; ditto a; sprawl,
stephen grondin,north florida (category 5),hammerhead; swamp horse,
stephen harding,christopher newport (skymaul),brackish; give me death; jolly roger,
stephen hendrickson,kentucky (kult),black lung; haymaker; kentucky flying circus,
stephen hoffman,grand valley state (lakers),midnight meat train,
stephen kelly,army (army west point),black knights,
stephen kenny,cincinnati (cincinnati),omen; schweingeist,
stephen kise,berry (bucks),romulus,
stephen klayer,xavier (b.l.o.b.),rotisserie chicken,
stephen kodur,chico state (chico state),anchor; float,
stephen krajeski,vermont (chill),big wrench; florida untied; fungi; icy boyz; inception; uproar,
stephen lafleur,maryland (maryland ultimate),town hall stars,
stephen lee,"tennessee-chattanooga (swamp donkeys); wake forest (well oiled machine, baby); watchung hills (warriors)",helots,
stephen linden,iowa state (isuc),black market ii; blacker market; blacker market y,
stephen liu,georgia-b (chillydawgs),dyno; haymaker,
stephen maggio,south florida (scallywags),stag,
stephen mann,iowa state (isuc); iowa state-b (yeastie boys),dcviii,
stephen mccracken,illinois state (gnomes),satellite,
stephen mitchell,harding (harding apocalypse),dreadnought: battleship-b,
stephen mock,georgia tech (tribe),buda; bullet; h.o.g. ultimate,
stephen muir,florida state (duf),coastal empire; florida united,
stephen myers,army (army-west point),atlanta arson,
stephen nahorney,hartford (lighthouse),connecticut connvicts; spring break '93,
stephen oun,western washington (dirt),ave; souf,
stephen pegher,colorado mines (entropy); colorado mines (entropy) (orediggers),tugboat,
stephen rashford,saint louis (archangel),castle; stl lounar,
stephen richards,rit (rit spudheds),genny lite,
stephen rivera-lau,rowan (ruf riders),rebels,
stephen sampson,rit (rit spudheds),rochester open club,
stephen schrock,trinity (turbulence),san antonio warhawks,
stephen sharp,liberty (flames),l.u.t $ack,
stephen smith,south florida (scallywags),uproar; vicious cycle,
stephen smoots,california-santa barbara (black tide),sundowners,
stephen snelson,suny-binghamton (suny-binghamton),helots; spring break '93,
stephen stanish,appalachian state (nomads); north carolina-charlotte (charlotte skyrise),banc,
stephen tankersley,memphis (memphis bluff),memphis belle,
stephen trello,south carolina (gamecock ultimate); south carolina (warbird),lost boys; space cowboys,
stephen welsh,ithaca (nawshus ultimate),odyssey,
stephen wilson,oklahoma (apes of wrath),fat stacks; supercell,
sterling grant,tennessee-chattanooga (swamp donkeys),nashville mudcats; nocturnal; tanasi,
sterling miller,florida-b (florida b),vicious cycle,
sterling payne,liberty (flames),l.u.t $ack,
steve farra,british columbia (thunderbirds),dna,
steven (alex) fischer,east carolina (irates),oakay,
steven akerson,grand canyon (lopes),nighthawk,
steven benaloh,washington (sundodgers),switchback; voodoo,
steven bennett,suny-buffalo (green eggs and ham),buffalo ultimate,
steven borik,texas-dallas (woof),duplex; nitro; plex,
steven burdge,harding (harding apocalypse),dreadnought: battleship-b; nox,
steven callori,boston university (boston university),spin doctors,
steven campillo,notre dame (papal rage),greater gary goblins x; greater gary goblins y,
steven chen,brandeis (tron),watch city,
steven gaiko,oklahoma state (ultimato); oklahoma state university (ultimato),citywide special,
steven glatt,texas-san antonio (velox),alamode; brackish; jolly roger; sa spares,
steven gomez,texas-dallas (woof),dallas united: outlaws; prime,
steven her,case western reserve (fighting gobies[a]),big wrench,
steven hocker,pittsburgh-b (en sabah nur-b),pittsburgh puppies; puppies,
steven jacobson,michigan (magnum),mango tree,
steven kingkiner,georgetown (justice),ballston booya,
steven ladenberger,alabama (yellow hammer); alabama-c (yellowhammer c),lounar; stl lounar,
steven lee,central connecticut state (blue barracudas),spring break '93,
steven moliterno,ohio state (leadbelly),high five,
steven nguyen,british columbia (thunderbirds); georgia state (underground); houston (skyline); texas (tuff),fight club; lil heroes; stuff,
steven norstrom,toledo (savage),dirty d,
steven olson,brigham young-b (chi b); california-santa barbara (black tide),socal condors,
steven parker,penn state-b (lovetap),rebels,
steven pearlman,oregon (ego),dark star; inception; johnny bravo,
steven powers,college of new jersey (revolution),rebels; revolt,
steven purugganan,connecticut (uconn grind); connecticut (uconn huskies),westchester magma bears,
steven rehmus,colorado college (wasabi),wasabi,
steven samuel,hofstra (flying dutchmen),hofstra (flying dutchmen),
steven silvers,oregon state-b (oregon state b),dark star,
steven tanguilig,northeastern (huskies); northeastern-b (beastern),iditarod,
steven tokar,case western reserve (fighting gobies[a]),chimney,
steven trenfield,texas-b (graze),messengers-b; riverside; riverside messengers-b,
steven wagner,notre dame (papal rage),bux; imperial; mke; trident; trident ii; trident iii,
steven wild,oklahoma (apes of wrath),supercell,
steven wilkinson,maine (goonsquad),those magnificent bastards; whuf-b,
stewart kelley,north carolina-wilmington (seamen),neap tide; red tide,
stewart williamson,north texas (unt illeagles); north texas (unt x); north texas (unt),dallas united: outlaws; e.v.i.l.,
stone swayze,illinois state (gnomes); illinois state-b (gnomes b),beachfront property; satellite,
stuart card,brigham young (chi); brigham young-b (chi b),fat stacks; practice squad; wretched refuse; zombie tidal wave,
stuart douglass,jacksonville state (firebird ),war machine,
stuart fronk,minnesota-b (ugly duckling); minnesota-c (rubber ducky),beef depot,
stuart gordon,lehigh (lehigh ),bear proof; path of totality,
stuart hanson,texas-san antonio (velox),alamode,
stuart hughes,south carolina (gamecock ultimate); south carolina (warbird),alliance; lost boys; rush hour atl; swamp horse; swarm,
stuart montgomery,saint louis (archangel),s l u r p,
stuart wire,oklahoma state (ultimato); oklahoma state university (ultimato),supercell,
stylianos mastoras,west virginia (wv wild),mob ultimate,
subhash venigalla,texas-san antonio (velox),shrike cutters,
suhaas katikaneni,chicago (fission); chicago-b (hedonism bots),crossfire,
suhas madiraju,north carolina state (nc state alpha),ring of fire,
sulek dopman,california-santa cruz (slugs); gold rush,scooby coupy coup,
sully mcfarland,maine (snositi),resurgam ultimate,
sumedh anantha krishna,rochester (piggies),crossfire,
summer zheng,rutgers (machine),7am; adelphos; dirty laundry; garden party; helots; magma bears; not a sport; pride of rowan newark,
sumner cushman,northeastern (huskies),dap lab; slugfest,
sumner gubisch,george washington (g-dub hippos); massachusetts-c (umass amherst developmental); massachusetts-d (umass amherst developmental),trout,
sunay patel,northeastern (huskies),bag,
sunny wong,british columbia (thunderbirds); british columbia -b (shipwreck),blackfish,
sunyoung kim,towson (pandamonium); towson -b (bamboozle); towson-x (towson x),mob ultimate,
suraj madiraju,north carolina (darkside),brickhouse; honey bashfords; ring of fire,
suraj patel,california (california-berkeley); ucla (smaug),doggpound; hazard,
sydney assile,ithaca (nawshus ultimate),new jersey gemini,
sydney shobel,akron (goonsquad),scoop,
syed akbar jaffery,illinois-chicago (funk),black market i; black market ii; black market iii; black market y; blacker market; blacker market x; blackest market; trident iii,
syed gillani,suny-stony brook (brick); suny-stony brook (panic),harvest moon,
sylas gulsby,colorado cutthroat u-20 boys,colorado cutthroat u-17 boys; colorado cutthroat u-20 boys; colorado cutthroat u-20 boys two,
syon rao,washington (sundodgers),mystery gang,
tabish rayani,georgia state (underground),atlanta arson,
tabler elliott,north dakota state (windbreak ultimate club),fargoats; st. cloud swans; swans,
tabor muther reed,suny-stony brook (panic),suny-stony brook (panic),
tadao kumasaka,lewis & clark (bacchus ),dirtnap; junco,
tadeas horn,san jose state (spartans),battery; creaky,
tadhg young,oberlin (flying horsecows),battery; black lung; mad men b-b,
taek lee,north carolina (darkside),cash crop,
taelor hunter,winona state (experience),ufo,
tafika-kenan valhmu,wisconsin-milwaukee (black cat),bux; zoboomafoo,
tai eubanks,dc recruits; maryland (maryland ultimate),fort reno flatball club; mob ultimate,
taiga kuzu,st olaf (berzerkers),m.y.t.h.o.s.,
tair (ty) rocker,claremont (braineaters),cognitive disconance,
taishi fukuda,victoria (vikes),surf,
taiyo forsyth,victoria (vikes),surf,
tal niv,connecticut (uconn huskies),magma bears,
talon balcom,texas (tuff),h.i.p; lil heroes; riverside,
talon johnson,brown (brownian motion); oberlin (flying horsecows),providence poultry,
talon spears,tulane (tucks); tulane-b (tulane b),gang of disc,
talyx hochstein,tufts (elephant men),red wolves,
tam tran,colorado-b (cucu); colorado-c (rooster tussle); princeton (clockwork),rebels,
tamir gray,nyu (new york university ),haze; nyu (new york university ),
tamish sapkota,saint louis (archangel),stl moonar,
tanion misawayee,ohio state (leadbelly),flying dutchmen,
tanishq kancharla,carnegie mellon (mr. yuk); carnegie mellon-b (harmful),space force,
tanjid mitul,georgia state (underground),atlanta arson,
tanner asaro ii,rhode island (riut),lantern,
tanner boyle,iowa state (isuc),illusion,
tanner carpenter,colorado mesa (colorado mesa mavericks),colorado mesa (colorado mesa mavericks),
tanner cherry,union (tennessee) (union jaxx),memphis belle; villains,
tanner church,wright state (airstrike),enigma,
tanner cohen,massachusetts-lowell (riverhawks),bag,
tanner coleman,south carolina (gamecock ultimate); south carolina (warbird),apollo; cockfight; second nature; swarm,
tanner dellett-wion,charlottesville clownies; virginia (night train); virginia-b (virginia-b),richmond floodwall,
tanner filion,notre dame (papal rage); whitman (whitman sweets),battery,
tanner flagg,colorado college (wasabi),colorado college (wasabi); the incline; wasabi,
tanner graham,bradley (angry otters),colonels; haymaker; satellite; spoon x-freshman; trident i,
tanner holtz,iowa state (isuc); iowa state-b (yeastie boys),trident ii; trident iii,
tanner hyslop,new hampshire (new hampshire ultimate team),thunder boys,
tanner martin,charleston (palmetto bums),charleston heat stroke,
tanner nielson,utah valley (utah valley ultimate); utah valley university (utah valley ultimate),lil’ huckers,
tanner niles,middle tennessee state (lightning),gentlemen's club; nocturnal,
tanner norpel,pittsburgh (en sabah nur),ez; night owl; puppies,
tanner peavy,colorado cutthroat u-20 boys; colorado cutthroat: youth club u-20 boys; iowa (ihuc),colorado cutthroat u-20 boys; colorado cutthroat: youth club u-20 boys,
tanner plentl,carolina flyers youth academy u20; east carolina (irates),parlay; triumph,
tanner repasky,florida (florida),vicious cycle,
tanner roberts,stephen f austin (frontier),brawl; dallas united: desperados; gamble; nitro; ring of fire,
tanner sandbakken,brigham young-b (chi b),madd dogg,
tanner schut,northern michigan (riptide),midnight meat train,
tanner segbers,cincinnati (bearcats); cincinnati (cincinnati),omen; schweingeist,
tanner smith,northern iowa (ammunition),loaded panda,
tanner thornberry,arkansas (ludicrous speed ),dreadnought; metro,
tanner tripoli,alabama-b (yellow hammer),rougaroux,
tanner yorgason,brigham young (chi),ncfo; old ephraim,
tanner yuhas,rutgers (machine),garden party; garden state ultimate; helots; not a sport; tune-up,
tannon hedges,alabama-huntsville (nightmares),chain lightning; freaks; little red wagon; mint,
tannor johnson,massachusetts (zoodisc),dig,
tao cai,michigan-b (michigan-b),red imp.ala,
tapan patel,georgia-b (chillydawgs),cerb werb-b,
tarik akyuz,case western reserve (fighting gobies[a]),emerald city; madison club; yogosbo,
tasman millen,victoria (vikes),coast; oni,
tate goretzki,wisconsin- la crosse (badluc); wisconsin-la crosse (badluc),spin doctors,
tate halberg,wisconsin-milwaukee (black cat),dingwop; knights of ni; mke; swans,
tate hoyer,berkeley high school (coup red); cal poly-slo (slocore),red dawn,
tate klauck,wisconsin-stevens point (homegrown),timber; wisconsin hops,
tate kloeppel,richmond (spidermonkeys),villains,
tate mceldowney,virginia tech (burn),tofu junction,
tate mullin,vermont-b (chill d); vermont-b (chill dev),bang; tbd,
tate pieper,california-santa cruz (slugs),wavestorms,
tate sigworth,syracuse (doom),esf mighty oaks,
tate voeller,colorado-b (cucu),colorado cutthroat: youth club u-20 boys; red lotus,
tate wilson,carolina flyers youth academy u20; north carolina state (nc state alpha),triumph,
taurean perkins,central florida (dogs of war),omen; reptar,
taye bradford,northwestern (lake effect),roundhouse,
taylor barton,brigham young (chi),the killjoys; utah hatu; wretched refuse,
taylor beron,south florida (scallywags),demo,
taylor caldwell,brigham young (chi),the killjoys; wretched refuse,
taylor chatfield,rose-hulman (elephantitis),enigma,
taylor crotts,east carolina (irates),banc; parlay; turbine,
taylor friedman,tulane (tucks); tulane-b (tulane b),gang of disc,
taylor gilman,william & mary (darkhorse),fungi; john doe; nighthawk,
taylor hanson,amherst regional (hurricanes); massachusetts (zoodisc); massachusetts -b (umass amherst developmental),buda u20b; duck and cover; sprout,
taylor hood,southern mississippi (anubis); southern mississippi (southern miss),battleship; predator,
taylor lange,franciscan (fatal),oregon trainwreck; trainwreck and friends,
taylor masterson,texas (tuff); texas united,doublewide; lil heroes; riverside; texas united,
taylor mcgraw,north carolina-charlotte (qcg),watchdogs,
taylor phillips,central arkansas (abduction),central arkansas surge,
taylor pochetti,connecticut (uconn huskies),slimjim fc,
taylor poydence,oklahoma-b (apes of wrath b),supercell,
taylor tamblyn,colorado state-b (hibida),syndicate,
taylor waters,north carolina state (ncsu wolfpack),lost boys,
taylor white,oregon state (beavers),dark star,
taylor williams,alabama (yellow hammer); brigham young (chi); brigham young-b (chi b),madd dogg; powderhogs; the killjoys,
taylor zorn,carthage (carthage blitz),house,
tayshaun smith,mississippi state (dark horse); mississippi state-b (pony express),prism,
tayt lo,colorado cutthroat u-20 boys,colorado cutthroat u-20 boys,
tayte olson,cal poly-pomona (cow ultimate),hazard; oc crows,
tazio rosenberg,san diego state (federales ),desert penguins,
ted randby,north carolina (darkside),brickhouse; triforce,
ted schewe,wisconsin (hodags),la raid s.c.; mad men; madison club; yogosbo,
teddy hanley,vermont-b (chill dev),bang; neap tide; yeuth-and-age-sia,
teddy kamin,kenyon (serf); kenyon-b (serf b),trident ii,
teddy schwartz,rochester (piggies),dapper,
teddy umbrell,james madison (hellfish); james madison-b (smellfish),winc city fog,
tej murthy,carleton college (cut),garden state ultimate; pony,
tejas mavanur,maryland-b (astro quakers); maryland-b (solar flair),town hall stars,
tejas sivarajakumar,charlotte flight; north carolina state (nc state alpha); north carolina-wilmington (seamen),banc,
tenzin choezin,bowdoin (clown),bowdoin (clown); old fat and saggy,
teo huson,brown (brownian motion),washington-liberty (washington-lee slarenegs),
terrence kong,penn state (spank),clutch; dth,
terron ross,ottawa (gee-gees),phoenix,
texas maki,pennsylvania (void),pennsylvania (void),
thach huynh,texas-dallas (woof),dallas delinquents,
thai-binh le,emory (emory juice),h.o.g. ultimate; yee-haw,
thatcher morgenstern,william & mary (merry men),garden state ultimate,
thatcher poitras,towson (pandamonium),bomb squad; mob ultimate,
thayer frankel,bowdoin (clown),resurgam ultimate,
theo aborn,williams (wufo),bodega cats,
theo checroune,carleton university (ravens),phoenix,
theo conroy,ucla (smaug); ucla-b (ucla smoke),roundhouse,
theo davis,victoria (vikes),surf,
theo gobeil,ottawa (gee-gees),phoenix,
theo gonzales-tapley,carnegie mellon (mr. yuk),battery; foggy bottom boys; space force,
theo jolly,boston college (eagles); boston college-b (boston college eagles b); northeastern-b (beastern),mbta,
theo kim,colorado state (hibida); cosmic u-20 boys,cosmic elite; cosmic u-20 boys; springs open team; the incline,
theo kojan,gold rush; oregon (ego); oregon -b (bucks),bay dog; oat; scooby coupy coup,
theo kuhn,yale (süperfly),westchester magma bears,
theo lee,johns hopkins (dangerzone),battery,
theo mahaffey,california-santa barbara (black tide); minnesota (grey duck),dinkytown doughboys; mad men; town hall stars,
theo shapinsky,michigan (magnum),foggy bottom boys; john doe; mango tree; nain rouge; red imp.ala,
theo strauss,massachusetts (zoodisc),bag; pineapple,
theodore aspinwall,north carolina (darkside),cash crop 2; nc brickhouse-upper,
theodore barton,bowdoin (clown),make it rain,
theodore bisdikian,northwestern (nut),greater gary goblins y; rogue grimace; sky hook,
theodore businger,wesleyan (nietzsch factor),crossfire,
theodore carr,denver (sourdough),denver -upper (four more dough ); iso atmo,
theodore chang,nyu (new york ultimate),7am; glycerine; shade,
theodore faur,grace (lancer ultimate),i-69; on ramp,
theodore howard,middlebury-b (branksters),alibi,
theodore kerr,maryland (maryland ultimate),town hall stars,
theodore mcgowan,occidental (detox),hazard; mallard; mallard ii; mallard x,
theodore miller,iupui (jaguars),8-bit; bromintum; momintum; the roofing co.,
theodore poor,california-santa cruz-b (ucsc b (ooze)),wavestorms,
theodore reimer,carthage (carthage blitz),house,
theodore rotberg,rutgers (machine),devyl u-20 open; garden state ultimate; new jersey gemini,
theodore sither,oregon (ego),red wolves; rhino slam!; truck stop,
theodore taussig,connecticut college (deimos),skeleton squad,
theodore weisman,texas (tuff),mischief; rejects ultimate club,
thien hoang,seven hills bx,ave,
thierno barry,nyu (new york university ),haze,
thomas abbate,missouri (missouri),lounar; stl moonar,
thomas abel,baylor (stonewall a); baylor (stonewall),sprawl; zoo,
thomas alford,caltech (aftermath); chicago (fission),haymaker; roundhouse; trident,
thomas avery,north texas (unt); texas-dallas (woof),dallas delinquents,
thomas basile,virginia tech-b (virginia tech b),wave,
thomas baumberger,west chester (west chester (a)); west chester (west chester); west chester-b (west chester (b)); west chester-b (west chester b),ez,
thomas behre,idaho (red scare),spokane flatline,
thomas brewster,colorado (mamabird),colorado cutthroat; inception; johnny bravo; lotus,
thomas brockhoff,cincinnati (bearcats),dynasty,
thomas brodeur,florida tech (florida tech),swamp horse,
thomas buonanno,philadelphia (diskfunctional); thomas jefferson (ram riders),adelphos; apollo 7,
thomas callen,charlottesville clownies; virginia-b (night train b); virginia-b (virginia-b),ballston booya,
thomas cameron,campbell (camels),charleston heat stroke; oakay,
thomas campbell,richmond (spidermonkeys),richmond floodwall,
thomas chase,florida (florida); florida-b (florida b),frizz; vicious cycle,
thomas chin,suny-buffalo-b (buffalo grinch),stuyvesant sticky fingers alumni,
thomas chiu,georgia tech-b (tribe),atlanta outlaws,
thomas clayton,missouri s&t (miner threat),friendly fire-c,
thomas cleveland,kentucky-b (kentucky ),ra,
thomas colen,princeton (clockwork),helots,
thomas cronin,ithaca (nawshus ultimate),dapper; new jersey gemini; odyssey,
thomas danz,suny-albany (scam); suny-cortland (team rocket),alibi; fusion; team rocket,
thomas demarkey,north carolina-wilmington (seamen),right coast,
thomas dillon,george washington (g-dub hippos); george washington (george washington men’s club ultimate),bdc; la maquina -a,
thomas donahue,minnesota-duluth (northern lights),dinkytown doughboys; knights of ni; mallard; mallard ii,
thomas duke,utah (zion curtain),fungi; memphis belle; portland tremor; shrimp; warao,
thomas dyett,lehigh (lehigh ),adelphos; expendables; skeleton squad,
thomas echols,lsu (lsu ultimate),johnny bravo; rougaroux; sub zero,
thomas edmonds,pittsburgh (en sabah nur),dig; goat; pittsburgh temper; truck stop,
thomas edwards,james madison (hellfish); james madison-b (smellfish),crypt; winc city fog,
thomas fenedick,gonzaga (guru ),ghost train; seven gills,
thomas ferguson,colorado mines-b (entropy - b),trollvolver,
thomas freeman,central florida-b (havoc); depaul (duc),ditto a,
thomas gallagher,wisconsin (hodags),mad men; yogosbo,
thomas gerard,ucla-b (ucla smoke),battery,
thomas glass,iowa state (isuc),black market i,
thomas graham,suny-buffalo (green eggs and ham),blueprint,
thomas griffin,northeastern (huskies); stephen f austin (frontier),dig; dix; iditarod; scoop; surrillic audovice,
thomas gustafson,harvard (red line),harvard (red line),
thomas hannie,lsu (lsu ultimate); lsu-b (purple haze),andygator; foxtrot; riverside,
thomas hardy,harding (harding apocalypse); northern arizona (el ponderoso),dreadnought: battleship-b,
thomas harley,north carolina (darkside),cash crop 2,
thomas hartwell,kennesaw state (parliament),h.o.g. ultimate,
thomas harward,utah-b (shower curtain ultimate),powderhogs; reál hogs fc-b,
thomas helm,iowa (ihuc),cryptic,
thomas hook,colorado mesa (colorado mesa mavericks); colorado mesa (colorado mesa space cows); colorado-mesa (colorado mesa space cows); colorado-mesa (colorado mesa ultimate frisbee),colorado mesa (colorado mesa mavericks),
thomas hornbeck,bowdoin (clown),bowdoin (clown),
thomas hotvedt,wisconsin-b (fauxdags),minnesota superior u20b,
thomas jones,bowdoin (clown),bowdoin (clown); red tide,
thomas kilmer,yale (süperfly),white sauce hot sauce; zyzzyva,
thomas lawton,notre dame (papal rage); notre dame-b (opus d's),milwaukee revival,
thomas loach,south florida-b (scourge),tyranny,
thomas loar,clemson (joint chiefs of waft),carolina summer; gvl trout; lost boys; space cowboys,
thomas maloney,maryland (maryland ultimate),town hall stars,
thomas manternach,northern iowa (ammunition),demo; loaded panda,
thomas mazur,pittsburgh (en sabah nur),pittsburgh temper; sepda night owl,
thomas mazzuchi,bowdoin (clown),bowdoin (clown),
thomas mccrone,nevada-reno (elevation ultimate); nevada-reno-b (ascension),anchor; battery; journeymen; wavestorms,
thomas mcguire,ohio state (leadbelly),forest city,
thomas mckenna,wisconsin-stevens point (homegrown),timber; trident ii,
thomas mcmanus,lehigh (lehigh ); lehigh-b (lehigh-b),garden party; hot tamales; lehigh (lehigh ),
thomas mcpherson,arkansas (ludicrous speed ); texas tech (tumbleweed),choice city hops; iso atmo; surrillic audovice,
thomas mendoza,ucla (smaug),battery,
thomas merrill,memphis (memphis bluff),memphis belle,
thomas milana,central florida (dogs of war),bloom; omen; uproar,
thomas miller,east carolina (irates); st mary's (maryland) (smut),battleship,
thomas mitchell,pacific lutheran (reign men),syndicate,
thomas murphy,elon (big fat bomb); elon (elon),the semple temple; virginia vortex,
thomas nielsen,colorado college (wasabi),colorado college (wasabi); crossfire,
thomas nye,south carolina (gamecock ultimate),citywide special; cockfight; lost boys,
thomas obrien,iupui (jaguars),black market ii; trident iii,
thomas odonnell,alabama-birmingham (inferno),alliance; battleship; swarm,
thomas orchanian,alabama (yellow hammer); alabama-b (yellow hammer); alabama-c (yellowhammer c); georgia state (underground),raptor,
thomas owen,virginia (night train),oakgrove boys,
thomas page,humboldt state (humboldt state buds),oat; red dawn,
thomas palermo,dayton (flud),babe; flying pig,
thomas pearson,james madison (hellfish),crypt,
thomas piaskowski,toledo (savage),mischief,
thomas plaxton,texas (tuff); texas-b (graze),alamode; make it rain; stuff,
thomas preston,oklahoma christian (eagles),gamble; phantom,
thomas purcell,northeastern-b (beastern),mbta,
thomas reed,alabama (yellow hammer); alabama-b (yellow hammer),alliance 2,
thomas richards,south carolina (warbird),cockfight; john doe,
thomas riedl,oregon (ego); oregon -b (bucks),dark star; oregon trainwreck,
thomas rink,georgia state (underground),rush hour; rush hour atl,
thomas roberts,michigan (magnum),green mountain boys,
thomas rzasnicki,texas a&m (dozen),texas duffy,
thomas schmidt,truman state (jujitsu),kansas city northern lines,
thomas schmitt,georgetown (justice); shenandoah (sound ultimate),beef depot; ghost train; john doe; seven gills,
thomas schreiber,kansas (horrorzontals),kansas city smokestack; prairie fire,
thomas selwood,pittsburgh-b (university of pittsburgh- b),pittsburgh stealers; puppies,
thomas shirley,clemson (joint chiefs of waft); clemson-b (biefs),duel,
thomas shope,carleton college (cut),minnesota superior a; nomad; sub zero,
thomas simms,western washington (dirt),seven gills; sockeye; switchback,
thomas smith,ball state (cardinals); union (tennessee) (union jaxx),bighorn; boulder united flatiron hammers,
thomas spiker,richmond (spidermonkeys),hazard; richmond floodwall,
thomas surdu,army (army west point),black knights,
thomas sutton,washington state (air raid); washington state (suspicious package); washington state university (suspicious package y),sure,
thomas teasley,auburn (aetos),rampage; ronin; second nature,
thomas theodorescu,colorado state (hibida),interesting tummy birds,
thomas theunissen,north carolina-wilmington (seamen),tampa tempest; turbine; uproar,
thomas tuchenhagen,mcgill (mut),mallard ii,
thomas venarde,yale (süperfly); yale - y (süperfly - y),sungho moon,
thomas verner,willamette (asylum ); willamette university (asylum ),drought,
thomas wagner,wisconsin-milwaukee-b (blackout),foxtrot,
thomas walker,wisconsin (hodags),la raid s.c.; minnesota superior u20b; ufo,
thomas warnecke,boise state (mamu zaldi),sawtooth,
thomas williams,north carolina (darkside),brickhouse; cash crop; cash crop 2; squirrel massacre,
thomas wray,north carolina-charlotte (charlotte skyrise),queen city kings,
thomas wu,cornell (buds),adelphos; helots,
thomas yoxsimer,north carolina-charlotte (charlotte skyrise); north carolina-wilmington-b (killabeez),bag; banc; lantern; skeleton squad,
thomas zhao,cornell (buds),stuyvesant sticky fingers; stuyvesant sticky fingers alumni,
thor peterson,cedarville (swarm),cedarville swarm; enigma; stl moonar; swarm,
tian chuan yen,washington (sundodgers),voodoo,
tiarnan babcock oneill,carleton college (cut),grudge; make it rain; mystery gang,
tiernan whytock,jacksonville state (firebird ),romulus; swarm; war machine,
tim clark,north park (lost boys),black market i; black market ii; blacker market x,
tim davis,boise state (mamu zaldi),sawtooth,
tim doan,california-santa cruz-b (ucsc b (ooze)),anchor,
tim greenwood,denver (sourdough),denver -upper (four more dough ),
tim ha,syracuse (doom),mohawk valley wild,
tim jensen,carleton college (cut); carleton college-cut (cut),nomad,
tim lootens,florida state (duf),bloom; bud; coastal empire; ele; omen; uproar,
tim mcginn,oregon (ego),dark star,
tim mcintire,syndicate,syndicate,
tim mei,suny-stony brook (panic),long island riff raff; suny-stony brook (panic),
tim offerdahl,embry-riddle (florida) (dirty birds),reptar,
tim pecharich,carthage (carthage blitz),house,
tim slade,virginia tech (burn),fathom; munch box; yacht club,
tim tran,depaul (duc),ditto a,
tim yang,british columbia -b (b-birds); british columbia -b (shipwreck),oni,
timo williamson,california-davis (davis dogs),swordfish,
timon hruschka,columbia (uptown local); uptown local y,deepfake,
timothy amsden,western new england (golden bears),spring break '93,
timothy barbella,suny-albany (scam),fat and mediocre; howe caverns; westchester magma bears,
timothy barker plotkin,amherst regional (hurricanes),duck and cover,
timothy benedict,olivet nazarene (black penguins),rubicon rapids; satellite,
timothy bliss,vermont (chill),burly; carolina sky,
timothy bobrowski,suny-binghamton (suny-binghamton),iditarod,
timothy brugarolas,california-b (ursa minor),east bay earthworms,
timothy chafin,south florida (scallywags),tampa tempest,
timothy champion,texas-dallas-b (woof),glycerine,
timothy chango gasset,pittsburgh (en sabah nur),pittsburgh temper; sord,
timothy corkery,massachusetts -b (umass amherst developmental); massachusetts-b (umass amherst developmental); massachusetts-d (umass amherst developmental),odyssey,
timothy demling,amherst regional (hurricanes),duck and cover,
timothy draut,oak storm,creaky; shadows,
timothy duggan,missouri state (missouri state ultimate),stl moonar,
timothy elliott,colorado state (hibida); cosmic u-20 boys,colorado cutthroat: youth club u-20 boys; cosmic elite; cosmic u-20 boys; fungi; johnny bravo; springs open team; the incline,
timothy friesen,victoria (vikes),club m - manic; mephisto; surf,
timothy garman,wisconsin-milwaukee (black cat); wisconsin-milwaukee-b (blackout),hippie mafia,
timothy gleeson,central florida-b (havoc),el niño,
timothy griffith,union (tennessee) (union jaxx),cookie mon$terz,
timothy jacob,vanderbilt (armada),washington-liberty (washington-lee slarenegs),
timothy jennings,rowan (ruf riders),new jersey gemini; rebels; revolt,
timothy lambert,suny-binghamton (suny-binghamton); suny-binghamton-b (suny-binghamton b),crossfire; festive salmon; log jam; skeleton squad,
timothy lee,grove city (grove city doomsday); salisbury (buzz ultimate a),bloom,
timothy lumsdaine,tennessee tech (tech talons),gentlemen's club; nashvillians; tanasi; tennessee folklore,
timothy mcmullen,arkansas (ludicrous speed ),dreadnought,
timothy moore,george washington (g-dub hippos),oakgrove boys; psychedelic,
timothy moran,bowdoin (clown),bowdoin (clown),
timothy mosher,texas a&m (dozen),doublewide; texas duffy; texas united,
timothy newman,rensselaer polytech (trudge),dredge,
timothy nguyen,suny-geneseo (snail),genny the boys (gtb),
timothy opdahl,minnesota-b (ugly duckling),mallard ii; the body,
timothy osborn,college of new jersey (revolution),helots,
timothy predmore,lehigh (lehigh ),adelphos; garden party; hazard; powderhogs,
timothy pupalaikis,rutgers (machine),pride of rowan newark; rutger colege,
timothy rees,east carolina (irates); north carolina-charlotte (charlotte skyrise),queen city kings,
timothy robison,texas a&m (dozen),clutch; singlewide,
timothy ross,california-b (thugmo),cojones,
timothy schoch,carleton college (carleton college (cut)); carleton college-cut (cut),chicago machine; dig,
timothy schragel,oregon (ego),black sheep; slimjim fc,
timothy sheehan,illinois (rise); santa clara (scab),haymaker; oak grove boys; trident,
timothy sullivan iv,alabama (yellow hammer); alabama-b (yellow hammer),mayhem-dev,
